keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew,continent,geonames,latitude,longitude,geotype,country,ipcc,gnd
'Népal',fr,Nepal,#8f52eb,#8f52eb,2,0.100035602556,ASIA,1282988,28.0,84.0,A,Nepal,TIB,4041612-4
'Yémen',fr,Yemen,#395de9,#395de9,2,0.100035089336,ASIA,69543,15.5,47.5,A,Yemen,ARP,4073009-8
'Sanaa',fr,Yemen,#3867e8,#3867e8,2,0.100035089336,ASIA,71137,15.35472,44.20667,P,Yemen,ARP,4051533-3
'Maputo',fr,Mozambique,#135bb0,#135bb0,2,0.100033902946,AFRICA,1040652,-25.96553,32.58322,P,Mozambique,ESAF,1038246-X
'Mozambique',fr,Mozambique,#155cc0,#155cc0,2,0.100033902946,AFRICA,1036973,-18.25,35.0,A,Mozambique,ESAF,4039786-5
'Ghana',fr,Ghana,#2ae7e3,#2ae7e3,2,0.100033594127,AFRICA,2300660,8.1,-1.2,A,Ghana,WAF,4020949-0
'Accra',fr,Ghana,#24e6e6,#24e6e6,2,0.100033594127,AFRICA,2306104,5.55602,-0.1969,P,Ghana,WAF,4000338-3
'Angola',fr,Angola,#1694cb,#1694cb,2,0.100032457245,AFRICA,3351879,-12.5,18.5,A,Angola,WSAF,4002050-2
'Luanda',fr,Angola,#17aad3,#17aad3,2,0.100032457245,AFRICA,2240449,-8.83682,13.23432,P,Angola,CAF,4099838-1
'Malaisie',fr,Malaysia,#cd1ee6,#cd1ee6,2,0.10003171725,ASIA,1733045,2.5,112.5,A,Malaysia,SEA,4037203-0
'Kuala Lumpur',fr,Malaysia,#a91fe6,#a91fe6,2,0.10003171725,ASIA,1735161,3.1412,101.68653,P,Malaysia,SEA,4110404-3
'Lima',fr,Peru,#4acc16,#4acc16,2,0.100031260496,SOUTH-AMERICA,3936456,-12.04318,-77.02824,P,Peru,NWS,4035742-9
'Tachkent',fr,Uzbekistan,#816dee,#816dee,2,0.100030344041,ASIA,1512569,41.26465,69.21627,P,Uzbekistan,WCA,4059096-3
'Ouzbékistan',fr,Uzbekistan,#766eee,#766eee,2,0.100030344041,ASIA,1512440,41.66667,63.83333,A,Uzbekistan,WCA,4062199-6
'Riyad',fr,Saudi Arabia,#4b6feb,#4b6feb,2,0.100029673637,ASIA,108410,24.68773,46.72185,P,Saudi Arabia,ARP,4015384-8
'Arabie Saoudite',fr,Saudi Arabia,#4c74eb,#4c74eb,2,0.100029673637,ASIA,102358,25.0,45.0,A,Saudi Arabia,ARP,4051788-3
'Rabat',fr,Morocco,#5eeddd,#5eeddd,2,0.100027755313,EUROPE-AFRICA,2538475,34.01325,-6.83255,P,Morocco,MED,4076467-9
'Maroc',fr,Morocco,#53ebd2,#53ebd2,2,0.100027755313,AFRICA,2542007,28.5,-10.0,A,Morocco,SAH,4037680-1
'Ottawa',fr,Canada,#95ef76,#95ef76,2,0.100026984103,NORTH-AMERICA,6094817,45.41117,-75.69812,P,Canada,ENA,4122012-2
'Canada',fr,Canada,#e9f394,#e9f394,2,0.100026984103,NORTH-AMERICA,6251999,60.10867,-113.64258,A,Canada,NWN,4029456-0
'Afghanistan',fr,Afghanistan,#6b5cec,#6b5cec,2,0.10002690169,ASIA,1149361,33.0,66.0,A,Afghanistan,WCA,4000687-6
'Kaboul',fr,Afghanistan,#755fed,#755fed,2,0.10002690169,ASIA,1138958,34.52813,69.17233,P,Afghanistan,WCA,4029127-3
'Pologne',fr,Poland,#83ccf1,#83ccf1,2,0.100026330654,EUROPE,798544,52.0,20.0,A,Poland,WCE,4046496-9
'Varsovie',fr,Poland,#84cbf1,#84cbf1,2,0.100026330654,EUROPE,756135,52.22977,21.01178,P,Poland,WCE,4079048-4
'Bagdad',fr,Iraq,#5d82ed,#5d82ed,2,0.1000260189,ASIA,98182,33.34058,44.40088,P,Iraq,WCA,4004237-6
'Irak',fr,Iraq,#5c83ec,#5c83ec,2,0.1000260189,ASIA,99237,33.0,44.0,A,Iraq,WCA,4072920-5
'Khartoum',fr,Sudan,#3989e9,#3989e9,2,0.100023922568,AFRICA,379252,15.55177,32.53241,P,Sudan,SAH,4110249-6
'Soudan',fr,Sudan,#3a91e9,#3a91e9,2,0.100023922568,AFRICA,366755,16.0,30.0,A,Sudan,SAH,4058378-8
'Alger',fr,Algeria,#64e6ed,#64e6ed,2,0.100023680729,EUROPE-AFRICA,2507480,36.73225,3.08746,P,Algeria,MED,4084955-7
'Algérie',fr,Algeria,#52e4eb,#52e4eb,2,0.100023680729,AFRICA,2589581,28.0,3.0,A,Algeria,SAH,4001179-3
'Kampala',fr,Uganda,#1a77e5,#1a77e5,2,0.10002340652,AFRICA,232422,0.31628,32.58219,P,Uganda,SEAF,4109986-2
