keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Stanley',en,Falkland Islands,#997E6E,#997E6E,2,0.4790750568612585
'Svalbard et Jan Mayen',en,Svalbard and Jan Mayen,#A4B0D3,#A4B0D3,2,0.49215686274509807
'Longyearbyen',en,Svalbard and Jan Mayen,#A4B0D3,#A4B0D3,2,0.49215686274509807
'Alofi',en,Niue,#C2AF9B,#C2AF9B,2,0.5616805170821791
'Nioué',en,Niue,#C2AF9B,#C2AF9B,2,0.5616805170821791
'Île Norfolk',en,Norfolk Island,#D20DEF,#D20DEF,2,0.6470459518599562
'Kingston',en,Norfolk Island,#D20DEF,#D20DEF,2,0.6470459518599562
'Crique du poisson volant',en,Christmas Island,#0C2D52,#0C2D52,2,0.7666666666666666
'Île Christmas',en,Christmas Island,#0C2D52,#0C2D52,2,0.7666666666666666
'grand-mère',en,Tokelau,#05147B,#05147B,2,0.7821282401091405
'Tokélaou',en,Tokelau,#05147B,#05147B,2,0.7821282401091405
'Île Heard et îles McDonald',en,Heard Island and McDonald Islands,#CC0D08,#CC0D08,2,1.0
'Île Bouvet',en,Bouvet Island,#FD3E7A,#FD3E7A,2,1.0
'Îles mineures éloignées des États-Unis',en,United States Minor Outlying Islands,#5F1EDA,#5F1EDA,2,1.0
'grand-mère',en,United States Minor Outlying Islands,#5F1EDA,#5F1EDA,2,1.0
'Antarctique',en,Antarctica,#F24905,#F24905,2,1.0
'grand-mère',en,Heard Island and McDonald Islands,#CC0D08,#CC0D08,2,1.0
'grand-mère',en,Bouvet Island,#FD3E7A,#FD3E7A,2,1.0
'grand-mère',en,Antarctica,#F24905,#F24905,2,1.0
'Cité du Vatican',en,Vatican,#747237,#747237,2,1.1857763300760045
'Vatican',en,Vatican,#747237,#747237,2,1.1857763300760045
'Ouest-de-l'Île',en,Cocos Islands,#32ED20,#32ED20,2,1.6923566878980894
'Îles Cocos',en,Cocos Islands,#32ED20,#32ED20,2,1.6923566878980894
'Terres australes françaises',en,French Southern Territories,#D05BAA,#D05BAA,2,7.242857142857143
'Port-aux-Français',en,French Southern Territories,#D05BAA,#D05BAA,2,7.242857142857143
'Pitcairn',en,Pitcairn,#9B50CD,#9B50CD,2,21.83913043478261
'Adamstown',en,Pitcairn,#9B50CD,#9B50CD,2,21.83913043478261
'Géorgie du Sud et îles Sandwich du Sud',en,South Georgia and the South Sandwich Islands,#0CC97F,#0CC97F,2,33.43333333333334
'Grytviken',en,South Georgia and the South Sandwich Islands,#0CC97F,#0CC97F,2,33.43333333333334
